gene,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
PPBP,0.01099604077227301,0.011460740567331127,-0.15114442309006137,0.10523514031075003,0.0030969406533131677,0.005308804348172239,-0.021112666096625595,-0.0077017172010780096,-0.042702219655507204,0.0012988169384777455
LYZ,0.1162319180135088,0.014725084823122634,-0.013108689959482117,-0.044058754711635575,0.049940083368160505,0.06548610398757657,0.013708432740371321,0.006657157126729396,0.002035887486592708,0.0159131413270481
S100A9,0.11541414803990363,0.01895221370952604,-0.024150801212173147,-0.05767467884421593,0.08539428547948658,0.04580734900491116,0.0031370507564560056,0.0637170956986008,-0.017137221117872962,0.029138205133195108
IGLL5,-0.007988119501615588,0.05454530560943664,0.04949251322854648,0.06659286515063903,0.0046028385324796235,0.006222827491298997,-0.015061134346056024,0.04557829906779066,-0.013921584834280173,0.02374682585526964
GNLY,-0.015240221259652052,-0.13375307907391523,0.041473042789513526,0.06885718065376899,0.10455312750940292,-0.001275148779066533,0.08294885788261848,0.01607839000141897,0.03678080619909285,0.04139943881342791
FTL,0.11829234502413685,0.018711713493519504,-0.00999951356614963,-0.015454804297522188,0.038734714779349935,-0.046640119189661024,-0.009680557431046994,0.02490334866845324,-0.003667951913568736,0.01994865263302942
PF4,0.007804422127733072,0.00954293588957019,-0.14678476925916517,0.11086713524061156,-0.002614088415695445,0.008205048304465702,-0.024888997026919966,-0.013016378719943223,-0.03388238396433659,-0.0011054646750931533
FTH1,0.11625715057633253,0.01896003488855917,-0.019140515566870762,-0.014250421258273088,7.419291634418399e-4,-0.0395219143411347,-0.012260332939931017,0.012804423126661623,-0.013661771808898259,-0.0014378368514372816
GNG11,0.007051769047233139,0.005451099257820442,-0.1406464403254544,0.10230760996220087,-0.004954792969519781,0.004204636078329523,-0.023767742850735296,-2.703182361106628e-4,-0.02512934865441748,1.1908904047050867e-4
S100A8,0.10469453494307503,0.02547029800000772,-0.03175407145568349,-0.06692809618062999,0.11105193323837974,0.06689504991140738,0.010751858524624418,0.0907795828158714,-0.032459785604388405,0.032634294874646357
FCER1A,0.016366643720232252,4.432052254402219e-4,0.01776939861887769,0.017438895910099634,-0.019054197885006372,0.12864973761676016,0.031658037490732774,-0.2553131408895511,0.043248914600911265,-0.010709367079549106
HLA-DRA,0.076947873395973,0.1006455907273193,0.09056830095769575,0.10394239744013778,0.01642100686475949,0.025029018446194522,-0.02216236929576441,-0.011652597408675044,0.01450726258046308,-0.00916477608079017
CD74,0.05530842065618233,0.08040616064574355,0.1013681704732674,0.11903494232895086,0.009284383736974454,0.03968527828417856,-0.053877069892044396,-0.0019506510773561329,0.027548933721775925,-0.013670619020528223
CLU,0.004867889323549138,0.003127050632392758,-0.12465053702219292,0.0881119774052097,-0.006186763709430181,0.007657052677950953,-0.03136114851522186,-0.020958747788300144,-0.023607978126765697,-0.004301476336344036
NKG7,-0.02260360818224703,-0.1588944823405384,0.04039274158169747,0.06903171879918758,0.11108254443187099,-0.007843457603739149,-0.08257195039214893,-0.01628787086356432,0.02536408908716255,-0.015072482213152969
GZMB,-0.015045079556579811,-0.1472406704620876,0.04297075468417567,0.08715475074679284,0.11370228864800809,-0.009146526493101166,0.10503654003651723,-0.0045204878433581334,-0.03974112237041606,-0.007129631406843812
CST3,0.12714760393069302,0.004313072147311062,-0.01455421228567403,-0.01833838941702398,0.019199358292124803,0.007185231305456998,0.0071260376956165964,-0.037665941517240405,-0.0023392455455498794,0.006103547483532957
CCL4,-0.010196629442410546,-0.11737876540780795,0.03424251991159683,0.057789931686787324,0.10381447824756933,-0.011497903202056263,0.024083220323973403,-0.008450335085171559,-0.014364758369722225,-0.018043282235672656
C1QA,0.02475585004735406,-0.011045670024643224,0.005697452673390278,0.017962934616623922,-0.04859395668157052,-0.06548346908787556,-0.011303052124270253,-0.04734008852521208,0.019296338646205818,0.034250519164771655
HLA-DPB1,0.058852531235691126,0.07737634348628208,0.1015810526276344,0.11339790742899851,0.005640480451540101,0.02431678760836546,-0.0659340866051486,-0.04978995089599299,0.020671248501457216,-0.044454182308179144
SDPR,0.006282475216342314,0.0038775951779077777,-0.14676146417807928,0.10938042757217892,-0.008176436360363484,0.003962750016862318,-0.005967984680431091,-0.020975170826653924,-0.01525552741601811,-0.0031670885830817346
C1QB,0.015103315057015305,-0.00697363762080942,0.0052575181380819045,0.01156330553509385,-0.03454157880813384,-0.04848985427606066,-0.004246083354008485,-0.03807779658043919,0.010777875911153399,0.022674383703742123
AL928768.3,-0.002086520080696552,0.016346134181449805,0.011363838059512202,0.027068304393932437,-0.00963020840066001,0.01763847698070599,-0.026347271573098525,0.018092002755959975,-0.0542959724546112,-0.003103533921006807
TUBB1,0.004586922827855988,0.007602854501638383,-0.12920645350803386,0.08764407071713415,-0.011480735040711617,0.012981838973970124,-0.006485641044794207,-0.002571334187181316,-0.006303557116566893,-0.007029087179922373
GUSB,0.01860216695190041,-0.01489457786302264,-0.0031527617303747616,0.007881343506262862,-0.025824940052366345,0.003457198315524871,0.003880076200432179,-0.020565298428738516,-0.005595509297788669,0.012505703443497987
C10orf32,0.003805857065834835,-0.013056780439657922,0.01055929297487443,0.010382912258590185,-0.011787900498104189,-0.0011118447523368992,0.00484186471175916,0.02017181488863639,0.014852238201147193,0.027169964762756044
GP9,0.0037961231611794593,0.007695429557112798,-0.1324712794857197,0.09556125885239393,-0.0018083374946972364,0.009601722542246664,-0.013862641026390001,-0.005947957536026942,-0.013575099495150294,-0.007862879210097031
LYPD2,0.014685255441619645,-0.009455758069468067,0.007099949382808122,0.007800634252492817,-0.04017026335420284,-0.07108362697102903,-0.003418114897543311,-0.007287952782311249,-0.012264989436007718,0.025320371238172323
LYAR,-0.023450838848522306,-0.06767046588249151,0.003412919350067969,0.007404174529717163,0.02312899969116434,0.015813237831733298,-0.1346625805201425,-0.010491638746075487,0.07420087220887586,-0.011994320577531166
HAGH,0.003820957164087099,-0.016064875397025388,0.007705262421141432,0.0018449712504101969,-0.017571184762146703,-0.012328903357249702,0.005621536983055033,-0.01133362692932194,-0.006038814546575195,-0.003774841655726764
FUS,-0.01329404922558939,-0.012983677261127492,0.004078776455808656,-0.006674211945505029,-0.028887158324453006,0.008652598495778938,0.01598152464195239,-0.017441314071655216,0.01604272941009605,-0.007724383244938544
HLA-DPA1,0.06925665132311062,0.07071993799430679,0.10144808596222815,0.10744221766901414,-0.006544148658694063,-0.00366468359570868,-0.03986917392669292,-0.053193895934980716,0.02362443476450467,-0.027727809010386767
DSCR3,0.0028935224159284136,-0.003526357968514804,0.006991131309754601,0.0037863435033915305,-0.016294903333432174,0.0021170157496432866,-0.009545144685014108,4.593522717858984e-4,-0.003833336620545901,-0.016763888228774396
SLA,0.0025264733107827,-0.018769396616430043,0.006037564287736984,-2.3329956558721513e-4,-0.005703577332669454,-0.004990422069969242,-0.0012338333727451498,0.024662261585638105,0.009662344024298592,-1.4095194426270018e-4
SMIM7,0.0075771834768441175,-0.010618976118441818,0.016746158381206758,0.01246375712952244,-0.015414528338885791,0.0072513637388395115,0.01649378456785509,-0.01789570307499589,-0.00897526768516952,-0.02848663769158305
KIF5B,0.0030850461431163366,-0.015651755678894916,0.004085378854815972,-5.288630401196616e-4,-0.03087270589168812,0.028013291236117135,0.011288626743006762,0.0330737306120824,0.0075320775437610465,0.004422711120119679
APOBEC3B,0.04468365874000657,-0.002947627593095482,0.009906965099890449,-0.003630290628818636,-0.01658677115875955,-0.034466786367076965,-0.02348261413198369,-0.018523599957741995,0.049740715878099064,-0.09545471656018183
PPP6C,-0.0040698215934915185,-0.0020508430640583525,0.00255049412453342,-0.001413761372383547,-0.03535143010809894,0.02246128637322315,0.01192401691053103,0.01360433049661528,0.010250253041923417,0.012613107283505112
HBP1,-9.643094928065944e-4,-0.013450449464749742,-0.0010806255379179864,0.005524889864304973,-0.012130987988773049,-0.009531365017242282,0.030318677773729177,0.020996594403848497,-0.0029033271980169833,0.04153243943608041
HBA1,-0.0052282635273358385,-0.03571492558063793,0.012800802125918177,0.021585873911238996,0.036546154969486946,-0.010346223830546787,0.03532654897321198,-0.004518565154941163,-0.018024526852025147,-0.013064341859293133
TMX2,-0.0028384114433848283,-0.006362143258696222,0.013767603527701176,0.007182761269929125,-0.015391973994342048,0.01238805447773402,0.017567057609475495,0.00342333437428428,0.03810871866931231,-0.002687418072359955
CCL3,0.045306608624677815,-0.04335550998659659,0.010339501010039854,0.0036655663473623167,0.08413976866234067,0.04295824060333308,0.028019324918981327,0.008678680778298972,0.00920108689256234,-0.023715014622027113
INTS12,-0.002494888965860837,-0.004051555727853476,0.007311644723109625,0.006505295124163593,-0.020029903071653053,0.01641858018228977,-0.01031445351645052,0.020312155263803852,-0.009239161421733456,-0.007218787043521542
HLA-DRB1,0.07723546347558337,0.08053503591050576,0.09551125582001128,0.10744732690855853,0.0026314283421103256,0.025656998700615857,-0.05204585165078072,-0.02849751437913332,0.024791649791294283,-0.027563326912633832
GIMAP5,-0.03442606227487044,-0.038818313264605726,-0.018064465756694143,-0.04314741637952471,-0.04630313416689666,0.02639479100258213,0.032358787467646616,0.011988021390412567,-6.30243184618651e-4,-0.031686749170445457
CA2,0.012412957280111,0.0040972391854753685,-0.11136242735985002,0.09000529727189578,-0.017287233759690983,0.0036351410730378897,-0.01327685203478411,-0.012100606993567605,0.01226813788035645,-0.0046861903292591935
CD79A,-0.019674372748565185,0.12374929027341436,0.10744350638895855,0.13364653399579135,0.013167127717199337,0.006974633273883382,-0.021991563962825728,0.07827194677818644,-0.004900744961440215,0.022048206449365317
LILRA4,0.0014925994478476683,-5.98782762308713e-4,0.009412907469666406,0.011705412681191876,-0.009763585666550561,0.032707816710493165,0.01294197336210678,-0.05698672869400688,-0.02863025118636655,0.00468163862783146
CCL5,-0.033147161971480966,-0.11128278069528877,-0.022871983256829227,0.06080430427387776,0.07625886010499341,0.005594454052954988,-0.19541601646875356,-0.04689840314062597,0.04094496697338866,-0.016439869936060267
